theme_id,stage_id,name,reward_basic_id,reward_master_id
theme_1,theme_1_0,"Stage 1",11001,12001
theme_1,theme_1_1,"Stage 2",11002,12002
theme_1,theme_1_2,"Stage 3",11003,12003
theme_1,theme_1_3,"Stage 4",11004,12004
theme_1,theme_1_4,"Stage 5",11005,12005
theme_1,theme_1_5,"Stage 6",11006,12006
theme_1,theme_1_6,"Stage 7",11007,12007
theme_1,theme_1_7,"Stage 8",11008,12008
theme_1,theme_1_8,"Stage 9",11009,12009
theme_1,theme_1_9,"Stage 10",11010,12010
theme_2,theme_2_0,"Stage 11",11011,12011
theme_2,theme_2_1,"Stage 12",11012,12012
theme_2,theme_2_2,"Stage 13",11013,12013
theme_2,theme_2_3,"Stage 14",11014,12014
theme_2,theme_2_4,"Stage 15",11015,12015
theme_2,theme_2_5,"Stage 16",11016,12016
theme_2,theme_2_6,"Stage 17",11017,12017
theme_2,theme_2_7,"Stage 18",11018,12018
theme_2,theme_2_8,"Stage 19",11019,12019
theme_2,theme_2_9,"Stage 20",11020,12020
theme_3,theme_3_0,"Stage 21",11021,12021
theme_3,theme_3_1,"Stage 22",11022,12022
theme_3,theme_3_2,"Stage 23",11023,12023
theme_3,theme_3_3,"Stage 24",11024,12024
theme_3,theme_3_4,"Stage 25",11025,12025
theme_3,theme_3_5,"Stage 26",11026,12026
theme_3,theme_3_6,"Stage 27",11027,12027
theme_3,theme_3_7,"Stage 28",11028,12028
theme_3,theme_3_8,"Stage 29",11029,12029
theme_3,theme_3_9,"Stage 30",11030,12030
theme_4,theme_4_0,"Stage 31",11031,12031
theme_4,theme_4_1,"Stage 32",11032,12032
theme_4,theme_4_2,"Stage 33",11033,12033
theme_4,theme_4_3,"Stage 34",11034,12034
theme_4,theme_4_4,"Stage 35",11035,12035
theme_4,theme_4_5,"Stage 36",11036,12036
theme_4,theme_4_6,"Stage 37",11037,12037
theme_4,theme_4_7,"Stage 38",11038,12038
theme_4,theme_4_8,"Stage 39",11039,12039
theme_4,theme_4_9,"Stage 40",11040,12040
theme_5,theme_5_0,"Stage 41",11041,12041
theme_5,theme_5_1,"Stage 42",11042,12042
theme_5,theme_5_2,"Stage 43",11043,12043
theme_5,theme_5_3,"Stage 44",11044,12044
theme_5,theme_5_4,"Stage 45",11045,12045
theme_5,theme_5_5,"Stage 46",11046,12046
theme_5,theme_5_6,"Stage 47",11047,12047
theme_5,theme_5_7,"Stage 48",11048,12048
theme_5,theme_5_8,"Stage 49",11049,12049
theme_5,theme_5_9,"Stage 50",11050,12050
theme_6,theme_6_0,"Stage 51",11051,12051
theme_6,theme_6_1,"Stage 52",11052,12052
theme_6,theme_6_2,"Stage 53",11053,12053
theme_6,theme_6_3,"Stage 54",11054,12054
theme_6,theme_6_4,"Stage 55",11055,12055
theme_6,theme_6_5,"Stage 56",11056,12056
theme_6,theme_6_6,"Stage 57",11057,12057
theme_6,theme_6_7,"Stage 58",11058,12058
theme_6,theme_6_8,"Stage 59",11059,12059
theme_6,theme_6_9,"Stage 60",11060,12060
theme_7,theme_7_0,"Stage 61",11061,12061
theme_7,theme_7_1,"Stage 62",11062,12062
theme_7,theme_7_2,"Stage 63",11063,12063
theme_7,theme_7_3,"Stage 64",11064,12064
theme_7,theme_7_4,"Stage 65",11065,12065
theme_7,theme_7_5,"Stage 66",11066,12066
theme_7,theme_7_6,"Stage 67",11067,12067
theme_7,theme_7_7,"Stage 68",11068,12068
theme_7,theme_7_8,"Stage 69",11069,12069
theme_7,theme_7_9,"Stage 70",11070,12070
theme_8,theme_8_0,"Stage 71",11071,12071
theme_8,theme_8_1,"Stage 72",11072,12072
theme_8,theme_8_2,"Stage 73",11073,12073
theme_8,theme_8_3,"Stage 74",11074,12074
theme_8,theme_8_4,"Stage 75",11075,12075
theme_8,theme_8_5,"Stage 76",11076,12076
theme_8,theme_8_6,"Stage 77",11077,12077
theme_8,theme_8_7,"Stage 78",11078,12078
theme_8,theme_8_8,"Stage 79",11079,12079
theme_8,theme_8_9,"Stage 80",11080,12080
