id,name,desc,grade_type,unlock_condition_id,asset_bundle_android_id,asset_bundle_ios_id,show_yn,reg_timestamp,update_timestamp
collection_01,girl_01,girl_01,0,20001,31,31,0,1563772480,1563772480
collection_02,girl_02,girl_02,0,20002,32,32,0,1563772489,1563772489
collection_03,girl_03,girl_03,0,20003,33,33,0,1563772498,1563772498
collection_04,girl_04,girl_04,0,20004,34,34,0,1563772506,1563772506
collection_05,girl_05,girl_05,0,20005,35,35,0,1563772515,1563772515
collection_06,girl_06,girl_06,0,20006,36,36,0,1563772524,1563772524
collection_07,girl_07,girl_07,0,20007,37,37,0,1563772533,1563772533
collection_08,girl_08,girl_08,0,20008,39,39,0,1563772542,1563772542
collection_09,girl_09,girl_09,0,20009,38,38,0,1563772551,1563772551
collection_10,girl_10,girl_10,1,20010,40,40,0,1563772560,1563772560
collection_11,girl_11,girl_11,1,20011,30,30,0,1563772470,1563772470
collection_12,girl_12,girl_12,0,20012,28,28,0,1563772452,1563772452
collection_13,girl_13,girl_13,0,20013,24,24,0,1563772415,1563772415
collection_14,girl_14,girl_14,1,20014,17,17,0,1563772355,1563772355
collection_15,girl_15,girl_15,1,20015,26,26,0,1563772434,1563772434
collection_16,girl_16,girl_16,1,20016,27,27,0,1563772443,1563772443
collection_17,girl_17,girl_17,2,20017,10,10,0,1563772293,1563772293
collection_18,girl_18,girl_18,0,20018,21,21,0,1563772389,1563772389
collection_19,girl_19,girl_19,1,20019,15,15,0,1563772337,1563772337
collection_20,girl_20,girl_20,1,20020,12,12,0,1563772311,1563772311
collection_21,girl_21,girl_21,1,20021,19,19,0,1563772372,1563772372
collection_22,girl_22,girl_22,2,20022,20,20,0,1563772381,1563772381
collection_23,girl_23,girl_23,2,20023,14,14,0,1563772328,1563772328
collection_24,girl_24,girl_24,1,20024,18,18,0,1563772363,1563772363
collection_25,girl_25,girl_25,1,20025,16,16,0,1563772346,1563772346
collection_26,girl_26,girl_26,3,20026,13,13,0,1563772320,1563772320
collection_27,girl_27,girl_27,2,20027,11,11,0,1563772302,1563772302
collection_28,girl_28,girl_28,2,20028,25,25,0,1563772425,1563772425
collection_29,girl_29,girl_29,2,20029,23,23,0,1563772407,1563772407
collection_30,girl_30,girl_30,3,20030,22,22,0,1563772398,1563772398
collection_31,girl_31,girl_31,3,20031,29,29,0,1563772461,1563772461
