id,type,type_id
20001,2,theme_1
20002,3,theme_1
20003,1,p_collection_03
20004,2,theme_2
20005,1,p_collection_05
20006,3,theme_2
20007,2,theme_3
20008,3,theme_3
20009,2,theme_4
20010,1,p_collection_10
20011,1,p_collection_11
20012,3,theme_4
20013,2,theme_5
20014,3,theme_5
20015,1,p_collection_15
20016,2,theme_6
20017,1,p_collection_17
20018,3,theme_6
20019,2,theme_7
20020,3,theme_7
20021,2,theme_8
20022,1,p_collection_22
20023,1,p_collection_23
20024,3,theme_8
20025,2,theme_9
20026,1,p_collection_26
20027,3,theme_9
20028,2,theme_10
20029,3,theme_10
20030,1,p_collection_30
20031,1,p_collection_31
c_theme_1,0,NULL
c_theme_10,2,theme_9
c_theme_2,2,theme_1
c_theme_3,2,theme_2
c_theme_4,2,theme_3
c_theme_5,2,theme_4
c_theme_6,2,theme_5
c_theme_7,2,theme_6
c_theme_8,2,theme_7
c_theme_9,2,theme_8
