id,name,desc,grade_type,unlock_condition_id,asset_bundle_android_id,asset_bundle_ios_id,show_yn,reg_timestamp,update_timestamp
collection_01,NULL,NULL,0,NULL,31,31,0,1563772480,1563772480
collection_02,NULL,NULL,0,NULL,32,32,0,1563772489,1563772489
collection_03,NULL,NULL,0,NULL,33,33,0,1563772498,1563772498
collection_04,NULL,NULL,0,NULL,34,34,0,1563772506,1563772506
collection_05,NULL,NULL,0,NULL,35,35,0,1563772515,1563772515
collection_06,NULL,NULL,0,NULL,36,36,0,1563772524,1563772524
collection_07,NULL,NULL,0,NULL,37,37,0,1563772533,1563772533
collection_08,NULL,NULL,0,NULL,39,39,0,1563772542,1563772542
collection_09,NULL,NULL,0,NULL,38,38,0,1563772551,1563772551
collection_10,NULL,NULL,0,NULL,40,40,0,1563772560,1563772560
collection_11,NULL,NULL,0,NULL,30,30,0,1563772470,1563772470
collection_12,NULL,NULL,0,NULL,28,28,0,1563772452,1563772452
collection_13,NULL,NULL,0,NULL,24,24,0,1563772415,1563772415
collection_14,NULL,NULL,0,NULL,17,17,0,1563772355,1563772355
collection_15,NULL,NULL,0,NULL,26,26,0,1563772434,1563772434
collection_16,NULL,NULL,0,NULL,27,27,0,1563772443,1563772443
collection_17,NULL,NULL,0,NULL,10,10,0,1563772293,1563772293
collection_18,NULL,NULL,0,NULL,21,21,0,1563772389,1563772389
collection_19,NULL,NULL,0,NULL,15,15,0,1563772337,1563772337
collection_20,NULL,NULL,0,NULL,12,12,0,1563772311,1563772311
collection_21,NULL,NULL,0,NULL,19,19,0,1563772372,1563772372
collection_22,NULL,NULL,0,NULL,20,20,0,1563772381,1563772381
collection_23,NULL,NULL,0,NULL,14,14,0,1563772328,1563772328
collection_24,NULL,NULL,0,NULL,18,18,0,1563772363,1563772363
collection_25,NULL,NULL,0,NULL,16,16,0,1563772346,1563772346
collection_26,NULL,NULL,0,NULL,13,13,0,1563772320,1563772320
collection_27,NULL,NULL,0,NULL,11,11,0,1563772302,1563772302
collection_28,NULL,NULL,0,NULL,25,25,0,1563772425,1563772425
collection_29,NULL,NULL,0,NULL,23,23,0,1563772407,1563772407
collection_30,NULL,NULL,0,NULL,22,22,0,1563772398,1563772398
collection_31,NULL,NULL,0,NULL,29,29,0,1563772461,1563772461
